time,row,col,team_icecon,bootstrap_icecon,visual_ice,melt_frac,thin_ice_frac,water_frac,land_frac,snow_frac,sea_ice_se,melt_se,thin_ice_se,water_se,cloud_qa_pixels,total_pixels,sensor,area,expected_area,coverage_frac,x,y,month,year,dayofyear,distance,visual_icecon,team_error,bootstrap_error
2023-05-27,186,314,0.812,0.942,0.6298482635194276,0.0150687018726991,0.014366487998452,0.0018569755665461,0.0012974061530969,0.3375621648897779,4.2596531284416895e-05,7.125461469320143e-05,6.938909703247267e-05,3.6348060303808894e-05,17.0,894103.7342126677,Landsat8,620964187.3501834,625577283.7110901,0.9926258569787882,812500.0,-2012500.0,5,2023,147,1983.1355013417551,0.9754613954094606,-0.1634613954094605,-0.0334613954094606
2019-07-04,184,300,0.528,0.605,0.1792253288616011,0.4807226644288834,0.0807805856689217,0.2592714210405937,0.0,0.0,0.0002083773043259,0.0002380359120039,0.0001882355815279,0.0001622536183589,0.0,706636.2014601168,Sentinel2,631513248.2498857,636478811.1842041,0.9921983845383954,762500.0,-1662500.0,7,2019,185,39123.15523410528,0.6599479932904845,-0.1319479932904844,-0.0549479932904845
2022-05-12,139,298,1.0,1.0,0.7351661483323215,0.0033933665919206,0.0004024336784854,0.0002864696845232,0.0008959294301368,0.2598556522826122,3.048075220172982e-05,2.885909394190074e-05,1.775262358112764e-05,1.6009508195630084e-05,0.0,881761.5002452407,Landsat8,636341846.4525326,641472774.650177,0.992001331310682,-362500.0,-1612500.0,5,2022,132,672.5758637878182,0.9990681030273896,0.0009318969726103,0.0009318969726103
2022-07-26,144,164,0.092,0.0,0.0128069077955662,0.0186725052056318,0.5657565268729996,0.2869045218306153,0.111726732662295,0.0041328056328919,0.0001271717033125,0.0001522678205407,0.0004573496466399,0.0004537293200052,9.0,773990.6555775162,Landsat8,633630826.536751,638668597.6929932,0.9921120731871904,-237500.0,1737500.0,7,2022,207,22773.815189464167,0.0356045383790024,0.0563954616209975,-0.0356045383790024
2018-09-11,227,218,0.0,0.0,0.0006168471127975,0.0018655645658474,0.0181408839778509,0.979376704343504,0.0,0.0,2.89013895005398e-05,4.867028638825431e-05,8.265797490446008e-05,7.766628791425568e-05,0.0,704186.006110231,Sentinel2,628829217.0220358,635015067.4268188,0.9902587344425556,1837500.0,387500.0,9,2018,254,8382.6095825752,0.0024824116786449,-0.0024824116786449,-0.0024824116786449
2022-09-18,56,156,0.0,0.0,0.0021086855941556,0.0031761751639735,0.0138826249973978,0.9808325142444728,0.0,0.0,4.5325694444439864e-05,6.47267199513396e-05,9.299480882611276e-05,0.000101601663468,0.0,653120.832640536,Sentinel2,584548848.1268209,588036879.9135742,0.9940683451907542,-2437500.0,1937500.0,9,2022,261,159420.52644333578,0.0052848607581291,-0.0052848607581291,-0.0052848607581291
2020-08-16,177,209,0.104,0.0,0.0033282518617401,0.0151821884817004,0.1205371425337859,0.8609524171227734,0.0,0.0,6.662878212178726e-05,9.590394386375616e-05,0.0002074780878872,0.0001925514453001,0.0,730874.8543515577,Sentinel2,652548158.9936966,658252755.3352051,0.9913337296421896,587500.0,612500.0,8,2020,229,105650.4249801706,0.0185104403434404,0.0854895596565595,-0.0185104403434404
2024-05-30,83,195,0.9,1.0,0.8579438222427619,0.1023253718114517,0.0293990093517987,0.0103317965939874,0.0,0.0,0.0001029510006875,0.0001452114679868,0.0001258260727309,9.455168131954368e-05,0.0,700533.4325664947,Sentinel2,626167658.7633011,630953107.760315,0.992415523533911,-1762500.0,962500.0,5,2024,151,176164.33775293513,0.9602691940542136,-0.0602691940542136,0.0397308059457863
2021-04-20,131,302,1.0,1.0,0.9672416092867522,0.0278686847374278,0.0034064397141172,0.0014832662617026,0.0,0.0,9.926173113643291e-05,9.150535426998546e-05,5.156110821496034e-05,4.5119702530744976e-05,0.0,707307.9319165676,Sentinel2,632099761.1219033,637258146.9180908,0.9919053435077536,-562500.0,-1712500.0,4,2021,110,177396.43604368225,0.99511029402418,0.00488970597582,0.00488970597582
2021-04-26,69,257,0.996,1.0,0.9973883591283458,0.0022548189092777,0.0002124099141675,0.0001444120482088,0.0,0.0,2.8821294296891216e-05,2.6464289220562175e-05,1.533836544087328e-05,1.4222029887310184e-05,0.0,693984.9791077797,Landsat8,620220547.4502898,624809251.3535614,0.992655832330698,-2112500.0,-587500.0,4,2021,116,53171.29171163256,0.9996431780376236,-0.0036431780376234,0.0003568219623765
2021-07-04,85,261,0.884,1.0,0.3017020764800689,0.3738386965335294,0.0212462677907044,0.0189718287928807,0.2793734963365744,0.0048676340662419,0.0002278331833975,0.0002557460760958,0.0001410095918922,0.000127806757273,0.0,883543.1438260842,Sentinel2,631044076.19211,635993706.6798401,0.992217485117,-1712500.0,-687500.0,7,2021,185,25583.77930829989,0.9438105508825626,-0.0598105508825625,0.0561894491174373
2021-08-03,117,156,0.064,0.0,0.010274887646759,0.0274830060175223,0.5194933167431746,0.1308767488123406,0.271904102521547,0.0399679382586563,0.0001073157431586,0.0001722090527719,0.000354779964917,0.0003190997934783,0.0,876934.6660168099,Sentinel2,621909913.4882165,626554117.2281799,0.9925877053357992,-912500.0,1937500.0,8,2021,215,7753.421247415698,0.0548704541915306,0.0091295458084693,-0.0548704541915306
2020-06-03,88,322,0.98,0.999,0.8919585386711771,0.0844519015864594,0.020732901081172,0.0028566586611912,0.0,0.0,0.0001089828345879,0.0001200243560829,8.355099162769979e-05,6.276322819225613e-05,0.0,668778.1759742966,Sentinel2,598452133.8536632,603571527.7042542,0.991518165427612,-1637500.0,-2212500.0,6,2020,155,63518.49875121171,0.9764104402576366,0.0035895597423634,0.0225895597423634
2022-08-06,99,323,0.0,0.0,0.0029850026965516,0.0084351331723552,0.1135115370661466,0.8750683270649463,0.0,0.0,6.607110710751792e-05,0.0001093703500788,0.0002489184178702,0.0002438217428232,0.0,676117.6857398588,Sentinel2,604844745.3544313,608942413.4610596,0.9932708446381024,-1362500.0,-2237500.0,8,2022,218,58127.00444456961,0.0114201358689068,-0.0114201358689068,-0.0114201358689068
2019-05-26,110,349,0.912,0.967,0.6298030533687603,0.2516246104206074,0.0161164571062916,0.0167611023008471,0.03592963165117,0.0497651451523233,0.0002535026267875,0.0002496044829017,0.0001298452009712,0.0001306299632717,0.0,685732.3237578821,Sentinel2,585773713.5441133,589297305.293045,0.9940206891881516,-1087500.0,-2887500.0,5,2019,146,932.9571351475448,0.9640409366883024,-0.0520409366883023,0.0029590633116975
2015-04-02,107,272,0.94,0.968,0.7139264488082399,0.0075861325728058,0.0065016598846188,0.0028440304022861,0.0001221585653362,0.2690195697667131,5.946537736983434e-05,5.784854582883224e-05,4.28335941193052e-05,4.104337595875162e-05,0.0,900468.9904240959,Landsat8,639946387.2584498,645202418.0973511,0.991853671512266,-1162500.0,-962500.0,4,2015,92,13047.88803822235,0.9872127187319416,-0.0472127187319416,-0.0192127187319416
